       59      47      40      52      37      32      27      34
       32      25      29      27      34      22      22      25
       30      24      29      27      24      27      16      34
       36      29      31      26      36      34      34      36
       27      31      41      44      41      63      66      97
      116     116     128     119     106     124      96      66
       63      45      50      38      35      36      40      35
       30      26      36      25      26      33      31      27
       28      30      27      32      30      37      35      30
       27      33      22      35      32      30      44      27
       29      35      40      47      45      47      64      69
       67      84      97     117     117     139     172     175
      184     194     192     182     154     136     102      71
       52      44      41      41      38      39      26      33
       33      33      33      34      31      34      26      33
       34      28      31      33      36      41      51      40
       51      48      55      71      43      55      71      56
       43      57      45      37      37      32      28      29
       30      35      27      32      27      38      37      39
       34      32      35      32      42      34      40      32
       37      44      32      29      32      44      41      41
       31      27      37      47      39      52      42      36
       42      37      44      26      46      36      33      44
       39      31      41      36      34      54      43      44
       41      44      39      51      51      56      53      61
       60      61      73      81     100     115     125     130
      145     131     138     125     113     103      98      85
       85      80      90      87     122     133     178     228
      291     381     517     624     779     912     998    1090
     1126    1138    1100    1100    1050    1003     928     869
      764     669     586     484     368     306     250     189
      145     127     114      89      80      82      90      71
       86      81      74      92     122     109      97     109
       92      89      79      61      56      61      36      49
       54      38      51      53      49      53      38      46
       43      39      36      48      48      53      50      56
       51      50      65      55      70      76      86      98
      131     166     213     301     376     502     618     707
      753     727     684     567     421     316     225     153
      117      85      85      63      70      57      47      57
       55      47      50      52      55      42      60      39
       59      50      51      42      45      47      40      57
       44      34      34      42      34      37      46      34
       42      39      37      39      32      36      49      36
       41      41      39      49      34      36      44      39
       40      48      34      43      34      36      46      36
       41      48      28      34      39      33      33      46
       36      38      31      38      41      33      36      36
       35      36      35      38      33      36      40      35
       35      35      33      38      35      35      37      30
       28      30      30      37      35      32      38      37
       37      35      33      32      38      40      30      37
       38      32      32      37      35      38      35      23
       37      42      42      43      35      48      43      47
       45      52      57      60      53      75      72      70
       68      52      55      59      59      59      62      67
       75      87      90      88      98     105     103      92
      103     102      93     107     123     125     147     145
      160     133     135     107      93      77      59      69
       44      47      42      32      39      35      39      44
       49      34      37      42      47      37      38      34
       35      37      42      44      42      42      47      62
       49      44      50      47      45      47      64      60
       45      49      45      54      55      52      45      60
       59      65      82      90     100     120     125     160
      189     252     337     440     553     681     791     899
      964    1002     970     967     867     796     687     559
      461     380     287     233     179     147     129      97
       95      87      72      73      64      59      51      62
       59      54      51      47      36      49      52      42
       46      46      32      47      41      42      29      41
       39      27      36      42      32      34      44      36
       46      51      41      39      44      32      54      62
       71      72      89      79      92      92      77      74
       64      66      57      51      33      51      49      44
       41      51      44      37      46      47      52      51
       57      56      62      66      64      61      61      52
       57      46      47      52      51      42      43      52
       54      59      61      66      66      77      82      90
       92     104     104     115     130     142     150     162
      159     159     155     144     132      99      87      69
       62      59      55      56      50      44      47      40
       49      44      50      39      44      44      40      39
       40      49      40      41      45      39      37      47
       40      37      44      39      30      35      32      37
       37      37      39      35      42      37      34      40
       35      40      37      37      40      47      42      47
       42      40      41      42      39      47      45      37
       40      44      40      44      40      44      44      42
       44      44      44      42      43      49      52      49
       59      55      70      64      79      77      92      87
       94     102     100     104      99     107     110     107
      117     113     110     105     100      98      92      88
       77      72      74      60      70      62      57      55
       52      45      49      40      45      40      39      42
       40      47      37      35      37      34      44      42
       44      45      39      35      39      40      40      39
       40      29      39      34      34      44      35      40
       41      45      40      35      49      34      44      42
       39      34      39      47      37      44      50      39
       39      39      37      37      44      42      40      44
       40      44      40      39      35      44      44      39
       49      47      47      50      59      59      67      72
       75      90      95     102     102     117     110     108
      105     103     102      95      95      92      97     105
      117     125     132     138     140     138     133     116
      110      96      76      67      60      55      57      48
       47      48      52      47      52      45      47      42
       38      45      48      43      46      48      45      48
       45      55      55      60      63      68      66      70
       78      81      95     120     140     174     219     294
      382     485     618     733     879     918     909     871
      756     618     479     359     282     201     163     133
      123     108     118     121     133     146     166     206
      249     274     302     332     340     352     334     307
      296     284     244     207     187     159     126     121
      101      96      76      74      68      58      63      58
       56      54      59      54      51      48      53      46
       46      48      51      49      49      43      48      44
       56      48      49      51      48      56      49      52
       46      49      46      54      56      57      62      57
       66      71      76      82      76      87      82      74
       74      67      68      59      57      61      69      84
       84      99     117     139     155     200     232     272
      297     302     292     283     260     227     194     154
      117      97      79      69      75      64      62      67
       60      70      72      77      87      89      99     102
      115     120     125     129     125     122     130     119
      109      97      85      77      60      59      54      52
       52      52      45      49      40      44      49      45
       40      47      39      47      42      39      50      42
       42      50      37      43      42      40      33      42
       37      47      45      33      37      37      32      32
       33      43      37      37      30      37      38      37
       37      37      35      33      30      33      38      45
       38      35      37      38      45      35      41      38
       43      31      43      35      38      41      40      36
       41      36      40      36      45      43      46      43
       45      53      46      48      48      50      61      58
       70      56      57      73      64      61      54      59
       61      56      49      54      55      53      48      53
       41      44      43      39      43      41      36      43
       39      33      43      34      41      34      36      34
       38      43      37      36      44      42      39      42
       44      46      51      44      42      44      49      44
       42      47      46      44      47      44      44      44
       46      51      51      47      56      47      59      69
       69      79      94     109     122     130     134     140
      149     149     145     137     129     130     122     115
      120     118     119     123     132     173     202     251
      320     406     471     551     621     672     685     634
      552     477     383     311     236     195     160     132
      125     110      95      87      90      65      63      60
       50      48      49      43      42      38      43      37
       40      40      36      41      33      43      43      40
       38      45      40      46      35      40      35      46
       38      36      45      50      43      38      45      48
       48      46      46      45      43      45      43      38
       36      43      41      43      39      41      39      38
       39      38      41      41      49      53      44      45
       39      46      41      39      43      49      41      44
       49      46      41      38      36      44      46      32
       39      41      41      41      44      36      34      41
       37      38      39      37      32      36      41      42
       29      41      34      31      36      34      36      37
       36      37      32      34      35      42      37      32
       37      39      32      37      38      40      30      39
       39      37      35      39      39      30      37      40
       35      40      47      45      42      44      47      45
       57      57      60      60      64      74      70      75
       80      83      87      97      93     100     105     113
      135     153     185     221     266     311     356     408
      462     458     444     426     394     356     313     263
      226     181     145     113      96      80      70      65
       67      58      52      58      47      50      53      45
       40      48      47      48      47      42      47      52
       43      40      45      41      48      56      51      40
       46      43      41      43      43      45      46      50
       46      45      43      53      54      56      53      63
       70      63      65      66      68      75      66      71
       70      68      71      70      63      70      58      53
       53      53      50      58      60      70      75      81
      101     113     119     138     156     174     177     178
      192     174     179     166     144     131     116      99
       94      74      73      63      59      60      63      54
